# Old jupiterlaser.com URL -> its closest equivalent on the new site.
#
# Source of truth. _dev/gen-redirects.py writes vercel.json, _redirects and
# .htaccess from this file, so the three can never drift apart. Edit here, then
# run the generator. Do not hand-edit the three outputs.
#
# Built from a real crawl of all four Yoast sitemaps (_dev/crawl-old-site.py),
# not from guessing slugs: 157 live URLs, of which 8 already exist unchanged on
# the new site and 149 need a target. Before this, 27 redirects covered 17 of
# them and 132 URLs would have 404'd the moment DNS moved.
#
# The rule that matters: redirect to the closest *equivalent*, never to / in
# bulk. Google treats a mass redirect to the homepage as a soft 404 and discards
# the link equity, which is the whole thing a redirect exists to carry. Nothing
# in this file targets /. Where no specific page exists, the section hub is the
# honest answer -- a reader landing on /conditions/ from a hammer-toe article
# has somewhere to go; one landing on / does not.
#
# Columns: old path (no trailing slash) <TAB> destination <TAB> why
old	destination	why
/advancements-in-diabetic-foot-care	/conditions/diabetic-foot-care/	topic match
/preventing-complications-a-guide-to-diabetic-foot-care	/conditions/diabetic-foot-care/	topic match
/the-crucial-importance-of-managing-diabetic-foot-complications-prevention-and-care-tips	/conditions/diabetic-foot-care/	topic match
/understand-the-common-diabetic-foot-problems-before-its-too-late	/conditions/diabetic-foot-care/	topic match

# ---- Posts: ankle and arthritis --------------------------------------------
/ankle-arthritis-jupiter	/conditions/arthritis/	topic match
/ankle-pain-common-causes-treatments-and-preventions	/conditions/	broad survey, no single page matches
/best-guide-to-first-metatarsophalangeal-joint-arthritis	/conditions/arthritis/	big-toe joint arthritis
/factors-that-affect-how-long-an-ankle-implant-will-last	/services/foot-ankle-surgery/	implant longevity is a surgical question
/high-ankle-injury-symptoms-what-to-watch-for-early	/conditions/sprains-strains/	high ankle sprain

# ---- Posts: flat feet and orthotics ----------------------------------------
/custom-orthotics-benefits-for-foot-and-ankle-health	/conditions/flat-feet/	orthotics are the arch-support answer
/custom-orthotics-jupiter	/conditions/flat-feet/	orthotics are the arch-support answer
/flat-feet-achilles-pain-best-shoes-stretches-relief-tips	/conditions/flat-feet/	flat feet is the primary subject
/flat-feet-in-adults-vs-children-causes-symptoms-and-solutions	/conditions/flat-feet/	topic match
/how-to-use-custom-orthotics-to-manage-hammer-toe-pain	/conditions/	hammer toe has no dedicated page
/impact-of-footwear-on-flat-feet-choosing-the-right-shoes-for-support	/conditions/flat-feet/	topic match
/understanding-flat-foot-causes-symptoms-diagnosis	/conditions/flat-feet/	topic match

# ---- Posts: plantar fasciitis and heel -------------------------------------
/pain-science-plantar-fasciitis	/conditions/plantar-fasciitis/	topic match
/plantar-fasciitis-in-athletes-recovery-strategies-and-performance-tips	/conditions/plantar-fasciitis/	topic match
/plantar-fasciitis-steroid-injection-when-to-consider-it	/blog/laser-therapy-vs-cortisone-injections/	same question, and the new post answers it directly

# ---- Posts: laser ----------------------------------------------------------
/effective-laser-therapy-for-sports-injuries-speed-up-your-recovery-time	/services/mls-laser-therapy/	topic match
/laser-therapy-inflammation-foot-pain	/services/mls-laser-therapy/	topic match
/laser-treatment-sports-injuries-feet-ankles	/services/mls-laser-therapy/	topic match
/mls-laser-therapy-benefits-pain-relief	/services/mls-laser-therapy/	topic match
/top-5-myths-about-laser-therapy-for-foot-pain	/services/mls-laser-therapy/	topic match
/why-laser-therapy-is-the-future-of-foot-and-ankle-treatments	/services/mls-laser-therapy/	topic match

# ---- Posts: veins ----------------------------------------------------------
/effective-solutions-for-chronic-venous-insufficiency	/conditions/venous-insufficiency/	condition, not procedure
/how-compression-therapy-can-alleviate-symptoms-of-vein-disease	/conditions/venous-insufficiency/	conservative care sits on the condition page
/how-endovenous-laser-therapy-evlt-works-a-comprehensive-overview	/services/vein-treatment/	procedure
/how-laser-vein-therapy-treats-varicose-veins-without-downtime	/services/vein-treatment/	procedure
/leg-pain-venous-insufficiency-jupiter	/conditions/venous-insufficiency/	symptom-led, condition page
/radiofrequency-ablation-rfa-explained-how-it-treats-varicose-veins	/services/vein-treatment/	procedure
/spider-vein-treatment-before-and-after-what-to-expect	/services/vein-treatment/	procedure
/the-role-of-physical-therapy-in-treating-leg-vein-problems	/conditions/venous-insufficiency/	conservative care
/the-role-of-vein-ligation-in-treating-severe-varicose-veins	/services/vein-treatment/	procedure
/vein-treatment-jupiter-fl	/services/vein-treatment/	procedure
/what-to-expect-with-sclerotherapy-before-and-after-insights	/services/vein-treatment/	procedure
/what-is-peripheral-artery-disease	/conditions/venous-insufficiency/	nearest vascular page; PAD has none

# ---- Posts: wound care -----------------------------------------------------
/how-can-wound-care-specialists-tailor-treatment-plans-for-different-types-of-wounds	/services/wound-care/	topic match
/how-laser-therapy-can-improve-wound-healing-and-reduce-scarring	/services/wound-care/	wound healing is the subject
/how-to-manage-and-treat-wounds-caused-by-radiation-therapy	/services/wound-care/	topic match
/how-to-take-care-of-surgical-wounds-at-home-to-prevent-infection	/services/wound-care/	topic match
/what-to-expect-during-burn-wound-care-treatment-in-jupiter-florida	/services/wound-care/	topic match

# ---- Posts: regenerative and stem cell -------------------------------------
/how-can-stem-cell-therapy-benefit-leg-injuries	/services/stem-cell-therapy/	topic match
/how-regenerative-medicine-is-changing-the-game-in-sports-injury-recovery	/services/regenerative-medicine/	topic match
/regenerative-medicine-in-podiatry	/services/regenerative-medicine/	topic match
/the-role-of-stem-cell-therapy-in-foot-and-ankle-injuries	/services/stem-cell-therapy/	topic match

# ---- Posts: sports ---------------------------------------------------------
/preventing-and-treating-sports-related-foot-injuries	/conditions/sports-injuries/	topic match
/sports-injuries-and-foot-health-how-to-prevent-and-treat-common-issues	/conditions/sports-injuries/	topic match
/sports-injury-signs-that-need-medical-attention	/conditions/sports-injuries/	topic match
/the-complete-guide-to-sports-injury-prevention-and-treatment	/conditions/sports-injuries/	topic match

# ---- Posts: surgery, warts, telehealth, general ----------------------------
/is-foot-and-ankle-surgery-worth-it-understanding-the-risks-and-benefits	/services/foot-ankle-surgery/	topic match
/why-warts-keep-coming-back-effective-laser-treatments-for-lasting-results	/conditions/	warts have no dedicated page
/foot-bbl-jupiter-fl	/services/foot-bbl/	topic match
/the-advantages-of-telemedicine	/telehealth/	topic match
/the-benefits-of-telemedicine	/telehealth/	topic match
/what-to-expect-during-a-telehealth-appointment	/telehealth/	topic match
/podiatrist-jupiter-first-visit	/new-patients/	what to expect on a first visit
/progressive-podiatry-new-era-foot-ankle-care	/about/	practice philosophy
/why-choose-a-podiatrist-in-jupiter-fl-for-chronic-foot-conditions	/about/	practice positioning
/best-running-shoes-2026-jupiter-podiatrist	/blog/	footwear roundup, no matching page
/cold-vs-warm-therapy-for-foot-pain-which-one-works-best	/blog/	self-care roundup, no matching page

# ---- Category archives -----------------------------------------------------
/category/achilles	/conditions/achilles-tendonitis/	archive of Achilles posts
/category/achilles-tendon-injuries	/conditions/achilles-tendonitis/	archive of Achilles posts
/category/achilles-tendonitis	/conditions/achilles-tendonitis/	archive of Achilles posts
/category/ankle-pain	/conditions/	no single ankle-pain page
/category/bunion	/conditions/bunions/	archive of bunion posts
/category/diabetic-foot-care	/conditions/diabetic-foot-care/	archive
/category/flat-feet	/conditions/flat-feet/	archive
/category/foot-ankle	/conditions/	broad archive, conditions hub
/category/foot-treatments	/services/	broad archive, services hub
/category/hammer-toe	/conditions/	hammer toe has no dedicated page
/category/injury-prevention-and-treatment	/conditions/sports-injuries/	archive maps to sports injuries
/category/laser-therapy	/services/mls-laser-therapy/	archive
/category/mis	/services/foot-ankle-surgery/	minimally invasive surgery
/category/peripheral-artery-disease	/conditions/venous-insufficiency/	nearest vascular page
/category/plantar-fasciitis	/conditions/plantar-fasciitis/	archive
/category/plantar-warts	/conditions/	warts have no dedicated page
/category/podiatrist	/about/	archive about the practice
/category/podiatry-foot-surgery	/services/foot-ankle-surgery/	archive
/category/press	/media/	press coverage lives on the media page
/category/press-release	/media/	press coverage lives on the media page
/category/regenerative-medicine	/services/regenerative-medicine/	archive
/category/sports-injuries	/conditions/sports-injuries/	archive
/category/stem-cell-therapy	/services/stem-cell-therapy/	archive
/category/surgical-wounds	/services/wound-care/	archive
/category/uncategorized	/blog/	no topic, blog index is the honest target
/category/varicose-veins	/services/vein-treatment/	archive
/category/vein	/services/vein-treatment/	archive
/category/vein-treatments	/services/vein-treatment/	archive
/category/venous	/conditions/venous-insufficiency/	condition rather than procedure
/category/wound-care	/services/wound-care/	archive

# ---- Author archive --------------------------------------------------------
/author/admin	/about/	single-author WordPress archive

# ---- Kept from the original hand-written map --------------------------------
# These match no URL in the sitemap, so they are either already-removed pages or
# shorthand someone may have linked. They cost nothing and may catch a backlink.
/what-we-do	/services/	not in sitemap; kept from the original map
/service-areas	/locations/	not in sitemap; kept from the original map
/bbl	/services/foot-bbl/	not in sitemap; kept from the original map
/foot-ankle-surgery	/services/foot-ankle-surgery/	not in sitemap; kept from the original map
/veins	/services/vein-treatment/	not in sitemap; kept from the original map
/vein	/services/vein-treatment/	not in sitemap; kept from the original map
/vein-treatments	/services/vein-treatment/	not in sitemap; kept from the original map
/varicose-veins	/services/vein-treatment/	not in sitemap; kept from the original map
/spider-veins	/services/vein-treatment/	not in sitemap; kept from the original map
/venous-insufficiency	/conditions/venous-insufficiency/	not in sitemap; kept from the original map

# These two ARE live posts in the sitemap, unlike the block above. They were
# already mapped correctly before the crawl, so they are listed here only to
# keep the original map's entries together.
/flat-feet-flatfoot-types-causes-treatment	/conditions/flat-feet/	live post; flat feet is the subject
/physical-therapy-and-rehabilitation-after-flat-foot-surgery	/conditions/flat-feet/	live post; post-op flat foot rehab
